Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
"This car is very smooth and powerful than other cars at this price,Mahindra XUV is the best safe car than other Mahindra car these power and torque very good, infotainment system are so nice",Infotainment System,21,0.9999997571794478,Build Quality,37,sttm_42
The Mahindra xuv500 is a very poor quality car.,Build Quality,21,0.9997440692229129,Build Quality,37,sttm_42
This car has amazing safety features and strong built quality.,Build Quality,21,0.9944352735712992,Build Quality,37,sttm_42
"Not that much costly...look and performance vise better than others, I recommend to myself..to buy this one",Cost,21,0.9998185451615303,Build Quality,37,sttm_42
The build quality is very high.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
The main thing I like about the car is its build quality.,Build Quality,21,0.9972462326985586,Build Quality,37,sttm_42
I have bought orcas white and it looks classy.,Looks,21,0.940588531822682,Build Quality,37,sttm_42
"The main reasons are 
 - pathetic build quality
 - below average service experience
 - poor brand image
 - long term reliability",Build Quality,21,0.9999997863767793,Build Quality,37,sttm_42
"Toyota car build-up quality is also good, very fun to drive, as u know in Toyota cars there is very low servicing & maintenance cost",Build Quality,21,0.9999999996262708,Build Quality,37,sttm_42
Fortuner is comfortable for a long journey.,Comfort,21,0.8708078970141314,Build Quality,37,sttm_42
"Over costly Fortuner, no sunroof and no automatically side mirror losers car",Cost,21,0.9880167006075663,Build Quality,37,sttm_42
"Jeep compass build quality, interior design, and quality are top-notch.",Build Quality,21,0.9999050224349617,Build Quality,37,sttm_42
"Better build quality 
 much better engines 
 proven the test of time",Build Quality,21,0.9999906154122205,Build Quality,37,sttm_42
We enthusiasts love the build quality and driving dynamics of the compass.,Build Quality,21,0.9999453052503033,Build Quality,37,sttm_42
"Price is little over for top-end model
 good ride quality 
 built quality is awesome.",Build Quality,21,0.999979758988994,Build Quality,37,sttm_42
It does look hideous and unappealing in the images.,Looks,21,0.7213141112528115,Build Quality,37,sttm_42
And yes they put it on the right price tag,Cost,21,0.98009547745377,Build Quality,37,sttm_42
Value for money awesome this is value for money superpower and build quality this is a fortune to own a Fortuner I would recommend you to buy this .it gives fair milage,Build Quality,21,0.99999999999367,Build Quality,37,sttm_42
The built quality is nice.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
But it looks short on height and narrow,Looks,21,0.6313463219818498,Build Quality,37,sttm_42
Build quality is also amazing......,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
"The car looks stunning, period.",Looks,21,0.5516074971201305,Build Quality,37,sttm_42
Car quality is looking very good,Build Quality,21,0.6676759428090261,Build Quality,37,sttm_42
"If the height of the Alturas isn't enough to comfortably accommodate me, something is wrong.",Comfort,21,0.9989054217418472,Build Quality,37,sttm_42
And the sound system is the best thing in this car.,Infotainment System,21,0.5438707631374254,Build Quality,37,sttm_42
Mahindra xuv500 has a very powerful engine but built quality not perfect also other parts like breaking system is very poor.,Build Quality,21,0.9999999369606821,Build Quality,37,sttm_42
A worth buy for quality car lovers!,Build Quality,21,0.9991898343985596,Build Quality,37,sttm_42
"One of the best cars ever seen .....this can lead to cool life.nice mileage, engine power, and strong build quality.",Build Quality,21,0.9998746083757867,Build Quality,37,sttm_42
"Build quality and interior is quite good, the ride is also quite good.",Build Quality,21,0.8109695786857265,Build Quality,37,sttm_42
"Build quality, interior part quality, feature list, and space is good.",Build Quality,21,0.9997911820084487,Build Quality,37,sttm_42
Built quality is good.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
The Fortuner look is also very cool.,Looks,21,0.8158314209874606,Build Quality,37,sttm_42
Bose sound quality is awesome.,Infotainment System,21,0.9515368219421847,Build Quality,37,sttm_42
"The amazing car , jeep compass it is expensive",Cost,21,0.8666720250873892,Build Quality,37,sttm_42
"More space, excellent ride, and build quality, and",Build Quality,21,0.870224652381182,Build Quality,37,sttm_42
Mg hector is a premium car with a great built quality.,Build Quality,21,0.9978169788481188,Build Quality,37,sttm_42
It is a very good car Toyota Fortuner and Toyota cars are premium quality cars.,Build Quality,21,0.9999985266848451,Build Quality,37,sttm_42
Very good built quality.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
This car has amazing safety features and strong built quality.,Safety Features,21,0.9944352735712992,Build Quality,37,sttm_42
"Worth it, full of features, good service cost and all.",Cost,21,0.8743073539161779,Build Quality,37,sttm_42
Perfect size and the premium build quality to go along with it.,Build Quality,21,0.9980211420488533,Build Quality,37,sttm_42
You can't put a price tag on love!,Cost,21,0.6212715888495973,Build Quality,37,sttm_42
Build quality is very poor..doors are very light quality.,Build Quality,21,0.9968269024382064,Build Quality,37,sttm_42
It has great looks yes good power and space but in terms of build quality terrible if it falls in a road bump or a medium-size speed breaker the monocoque chassis has band permanently.,Build Quality,21,0.9999999999991735,Build Quality,37,sttm_42
Fabulous built quality.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
"In terms of value for money, I think at this current price it's a steal as it's less costly than jeep compass but has more features.",Cost,21,0.9999980420768286,Build Quality,37,sttm_42
Hector has awesome build quality.,Build Quality,21,0.9879465886142527,Build Quality,37,sttm_42
The build quality is nice.,Build Quality,21,0.8988057835766629,Build Quality,37,sttm_42
The looks the build quality is superb the infotainment system is superb.,Infotainment System,21,0.9952809831580616,Build Quality,37,sttm_42
"Powerful, stylish, feature-loaded, and tough built quality.",Build Quality,21,0.9985283484468466,Build Quality,37,sttm_42
Looks great! happy miles,Looks,21,0.5755085540906607,Build Quality,37,sttm_42
Car quality is looking very good,Looks,21,0.6676759428090261,Build Quality,37,sttm_42
So then it's not worth to take a top-end model without thesesafety features,Safety Features,21,0.9959068987678281,Build Quality,37,sttm_42
Because the built and looks of the compass are exceptionally great.,Looks,21,0.9896292720996152,Build Quality,37,sttm_42
Even it's base model has all features and safety like traction control abs ebd etc,Safety Features,15,0.9999999999856236,Safety Features,24,sttm_42
"This is the base petrol model, doesn't even have a sunroof nor front parking sensors.",Sunroof,15,0.8771530251900583,Safety Features,24,sttm_42
Safety features are good with six airbags and other features such as abs ebd.,Safety Features,15,0.9999775479637005,Safety Features,24,sttm_42
"Its gets 9 airbags, rear parking camera, rear parking sensor, park assist,abs, ebs, ebd, hill hold assist and the list just doesn't stop",Safety Features,15,0.9999999999999897,Safety Features,24,sttm_42
"The safety feature included airbags, ebd, traction control system, esp, hill hold control, hill descent control.",Safety Features,15,1.0,Safety Features,24,sttm_42
"Overall, it also comes with more comfort & safety features like 6 airbags, abs, esc, hac & vsm.",Safety Features,15,0.9999999994806019,Safety Features,24,sttm_42
The absence of rear parking sensors would be super crazy.,Safety Features,15,0.9869679336219322,Safety Features,24,sttm_42
But this variant misses out on major safety features.,Safety Features,15,0.9868559342714391,Safety Features,24,sttm_42
"In terms of basic safety features, the variant seems to be ok. It has abs, dual airbags, rear parking sensors etc.",Safety Features,15,0.9999999992291451,Safety Features,24,sttm_42
But most of the safety features are missing even in the highest variants of petrol 1.5 ivt.,Safety Features,15,0.9987614515067584,Safety Features,24,sttm_42
It is a very safe car with solid chassis and 7 airbag like features.,Safety Features,15,0.9900482285381774,Safety Features,24,sttm_42
The traction control is tremendous.,Safety Features,15,0.9953449378100551,Safety Features,24,sttm_42
"The model comes fully loaded with features like 6 airbags, esp, abs, traction control, esc and isofix anchor points.",Safety Features,15,0.9999999999999916,Safety Features,24,sttm_42
1.the car comes with fewer features even I base model there is no music system.,Infotainment System,15,0.9989605651677421,Safety Features,24,sttm_42
Needs blind-spot monitoring and adaptive cruise control,Safety Features,15,0.9993885291774233,Safety Features,24,sttm_42
No other SUV has this many safety features in the base model.,Safety Features,15,0.9996912210807202,Safety Features,24,sttm_42
It has an awesome voice control and it is also full safety features with all-around airbags.,Safety Features,15,0.9998629827939374,Safety Features,24,sttm_42
"And it comes with the latest safety features like tcs, esp which is amazing. as well as it is internet-connected car",Safety Features,15,0.9999985638812877,Safety Features,24,sttm_42
Nice car and good safety features and good braking system and nice alloys and many more,Safety Features,15,0.9983176022299349,Safety Features,24,sttm_42
But the buttons are very nice and tactile.,Looks,15,0.8499634920084524,Safety Features,24,sttm_42
Traction control is another good addition.,Safety Features,15,0.999544711837576,Safety Features,24,sttm_42
"The security systemin this car is applaudable seat belt, airbag, rearview camera system ( parking camera)",Safety Features,15,0.9999994317154324,Safety Features,24,sttm_42
"There are lots of good features like cruise control, abs with ebd andstart/stop button.",Safety Features,15,0.9999999999066378,Safety Features,24,sttm_42
"Also, front parking sensors and a front-facing camera would have been ideal for off-roading.",Safety Features,15,0.9978782644271363,Safety Features,24,sttm_42
"regarding safety, it is best in the SUV segment as it loaded with 6 airbags, esp, traction control, ebd.",Safety Features,15,0.9999999999767967,Safety Features,24,sttm_42
"The safety features, hill assist, everything is great!",Safety Features,15,0.9993138191843591,Safety Features,24,sttm_42
I don't understand why Kia not offering safety features in this variant like 6 airbags and other features,Safety Features,15,0.9999670833937155,Safety Features,24,sttm_42
The diesel engine is providing extreme performance to the car like a beast.,Performance,17,0.9991422624372174,Performance,23,sttm_42
And boot space is extra large.,Boot Space,17,0.9807927528014048,Performance,23,sttm_42
Hated it to the guts due to the cvt performance.,Performance,17,0.9977650959879514,Performance,23,sttm_42
Comfort and insulation are very bad,Comfort,17,0.8403792268086692,Performance,23,sttm_42
"The same car now costs roughly 2.5x what it did then, which is atrocious.",Cost,17,0.7070508383273257,Performance,23,sttm_42
Ground clearance is good and leg rooms is more than enough for tall people also.,Ground Clearance,17,0.9983605027633649,Performance,23,sttm_42
Great leg space at the back and with this a complete family car to enjoy your vacation if you are on a long drive.,Family Car,17,0.9997582688012405,Performance,23,sttm_42
"But rear-seat little short, and boot space is little, please increase boot space.",Boot Space,17,0.9975200830915335,Performance,23,sttm_42
"Larger boot space, more comfort & bigger size.",Boot Space,17,0.9999761339496962,Performance,23,sttm_42
"It has smooth brakes, comfortable seats, appropriate leg space, sufficient boot space, and enough ground clearance.",Boot Space,17,0.9999999472598522,Performance,23,sttm_42
It has large wheels and decent boot space.,Boot Space,17,0.9747778362748067,Performance,23,sttm_42
But they have to improve a little bit of transmission and engine performance.,Performance,17,0.9920519899423832,Performance,23,sttm_42
The Fortuner is a very good SUV car for Indian roads because of its high ground clearance and very powerful engine.,Ground Clearance,17,0.9934146391030727,Performance,23,sttm_42
Large boot space is available.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
Great engine and great experience like it too much insane performance.,Performance,17,0.7468121737492774,Performance,23,sttm_42
"Larger boot space, more comfort & bigger size.",Comfort,17,0.9999761339496962,Performance,23,sttm_42
", boot space is good, ground clearance is good, it will help for bumpy roads, unethical speed breakers especially in Bangalore.",Boot Space,17,0.999999978296873,Performance,23,sttm_42
Its engine performance is super ugly.,Performance,17,0.9832357903100973,Performance,23,sttm_42
The looks of the car are amazing with good ground clearance and great mileage.,Ground Clearance,17,0.5236237593403964,Performance,23,sttm_42
"With all 7 seats up you only get boot space just like a hatchback.
 interior",Boot Space,17,0.9999114991276472,Performance,23,sttm_42
Performance is excellent around the corners and body roll is excellent on the highways.,Performance,17,0.9999362186540031,Performance,23,sttm_42
Great comfortable seating and excellent ground clearance getting in this car.,Ground Clearance,17,0.9455069257813028,Performance,23,sttm_42
"Legroom is good, boot space is better, infotainments are good, the engine is powerful",Boot Space,17,0.9999886627041276,Performance,23,sttm_42
It provides great comfort and good driving experience and it comes to a powerful engine and provides a powerful performance.,Performance,17,0.9999891527022314,Performance,23,sttm_42
"Excellent performance, power is great, and boot space is great.",Performance,17,0.9997555839975882,Performance,23,sttm_42
Excellent car with good ground clearance.,Ground Clearance,17,0.5187871283293031,Performance,23,sttm_42
"This car has amazing performance, leg space, boot space is amazing.",Boot Space,17,0.9999986348566139,Performance,23,sttm_42
"Space of compass is enough for 5 people, but the rear seats are uncomfortably vertical, causing pains and cramps in the abdomen for a bit fat people on long drives.",Comfort,17,0.9999999843951616,Performance,23,sttm_42
Overall driving was comfortable given a lot of equipment has been used to smoothen your ride.,Comfort,17,0.9998386071130954,Performance,23,sttm_42
Boot space is also nice.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
"Tata should work on this .....spending 15lac above for unrefined engine and bad insulation is not worthy.
 for design and space its worthy
 but not in the cost of refinement",Cost,17,0.9999999427602614,Performance,23,sttm_42
While long drive it feels like no jerking and very smooth performance.,Performance,17,0.9969582032759268,Performance,23,sttm_42
The boot space is quite good.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
"Excellent ground clearance, sturdy looks and feels like a king when steering in the highway as well as the city.",Ground Clearance,17,0.9999769292400876,Performance,23,sttm_42
The boot space is really good.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
The boot space is remarkable.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
Very comfortable seats with large leg space between the seats. and boot space is also huge.,Boot Space,17,0.9997604609320494,Performance,23,sttm_42
The car is very spacious and very comfortable in terms of driving and seating on a rear seat.,Comfort,17,0.9996651767995457,Performance,23,sttm_42
the jeep put a smile on my face with its performance.,Performance,17,0.9962078445230852,Performance,23,sttm_42
Huge boot space,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
Good performance feel like a king ride balancing is a too good family car with a comfortable interior is so good car shape,Family Car,17,0.999996993639192,Performance,23,sttm_42
The boot space is very limited when all the 7 seats are up.,Boot Space,17,0.9955053972528072,Performance,23,sttm_42
There is not a single doubt on the performance.,Performance,17,0.7865520665679243,Performance,23,sttm_42
"Wheel size was supposed to be big but cost-cutting came in place, wheels are too small",Cost,17,0.9999893771296974,Performance,23,sttm_42
"The performance of this car is very punchy, one gets to rev up this diesel 2-liter engine past 5000 rpm and it has got 7-speed DSG gearbox which does it’s work phenomenally and is buttery smooth.",Performance,17,0.9999999998818209,Performance,23,sttm_42
"It has smooth brakes, comfortable seats, appropriate leg space, sufficient boot space, and enough ground clearance.",Ground Clearance,17,0.9999999472598522,Performance,23,sttm_42
The best road king you can get in the market right now.,Road Presence,17,0.9977935338850603,Performance,23,sttm_42
"Excellent
 boot space is good",Boot Space,17,0.9151412773583623,Performance,23,sttm_42
"Excellent performance, power is great, and boot space is great.",Boot Space,17,0.9997555839975882,Performance,23,sttm_42
"Super suspension, engine performance is the best.",Performance,17,0.9256790154554502,Performance,23,sttm_42
performance makes it a super king of roads,Performance,17,0.8952326116636167,Performance,23,sttm_42
Good performance and maintenance cost is affordable.comfort driving and many features are available in this car especially in this series.,Cost,17,0.9999780308011793,Performance,23,sttm_42
"Amazing experience, best feature best performance on off-road also music system is also good.",Infotainment System,17,0.9903939475257149,Performance,23,sttm_42
superb driving position & big panoramic sunroof,Sunroof,17,0.9926912402019623,Performance,23,sttm_42
"My family is not much keen on seltos due to the its size, internal space and road presence.",Road Presence,17,0.9999591887784639,Performance,23,sttm_42
Comfortable boot space.,Boot Space,17,0.9151412773583623,Performance,23,sttm_42
somewhat less boot space (around 400lts),Boot Space,17,0.9807927528014048,Performance,23,sttm_42
One of the biggest challenges you will face when moving to a car like seltos from an Octavia - the boot space is almost half!,Boot Space,17,0.9999999542200265,Performance,23,sttm_42
Studded front grill along with cheetah inspired muscular body gives it a very powerful road presence which cannot be ignored while driving.,Road Presence,17,0.9999970658533,Performance,23,sttm_42
Amazing car with a lot of space and features.,Cost,17,0.972794357562068,Performance,23,sttm_42
The boot space is too large in this car and the music system is too good.,Infotainment System,17,0.9958444749273423,Performance,23,sttm_42
The panoramic sunroof in the top version gives you a feel of riding a convertible.,Sunroof,17,0.9961305723132805,Performance,23,sttm_42
The engine performance is high and it's especially good for ladies and old people.,Performance,17,0.9991419289081941,Performance,23,sttm_42
The diesel engine is a punchy performer on the highway while being easy to drive inside the city.,Performance,17,0.9999237551500225,Performance,23,sttm_42
It gives smooth and comfortable driving.,Comfort,17,0.9596553073599038,Performance,23,sttm_42
"I have driven this car a lot and getting an excellent performance, fantastic and user-friendly latest features.",Performance,17,0.9788189614876934,Performance,23,sttm_42
It gives a comfortable driving experience.,Comfort,17,0.9578366038217984,Performance,23,sttm_42
"On the highway, it performs exceptionally well.",Performance,17,0.9805565784121683,Performance,23,sttm_42
The sound system was good ground clearance is also good.,Ground Clearance,17,0.9868947864996827,Performance,23,sttm_42
"Performance is good on both highway and city, the turbo engine is a good reason to buy this car right away.",Performance,17,0.9999996866154933,Performance,23,sttm_42
Overall the feel and comfort of the car are great.,Comfort,17,0.5887947906431196,Performance,23,sttm_42
Seats are very comfortable and easily adjustable.,Comfort,17,0.6789092651852143,Performance,23,sttm_42
Strong car with nice interior and performance enabled in it.,Performance,17,0.5621137979157895,Performance,23,sttm_42
Great performance and smooth ride.,Performance,17,0.6145873229451921,Performance,23,sttm_42
The best engine for better performance.,Performance,17,0.6375622939558315,Performance,23,sttm_42
Great performance and great experience of smooth driving.,Performance,17,0.981962410751202,Performance,23,sttm_42
The black and white colors look very aesthetic.,Looks,5,0.7923407506614227,Ground Clearance,19,sttm_42
"If the ground clearance would have been a little bit more, I can use it in my pipeline projects.",Ground Clearance,5,0.9999853160569849,Ground Clearance,19,sttm_42
Whereas the Indian model's interior looks outright ugly in comparison.,Looks,5,0.9933184969670197,Ground Clearance,19,sttm_42
Chaps wanting SUV or crossover type ground clearances may be disappointed.,Ground Clearance,5,0.9999999911821044,Ground Clearance,19,sttm_42
"However, the unit looks outdated with poor resolution and colors, clearly looks a generation older.",Looks,5,0.9999957762179383,Ground Clearance,19,sttm_42
Looks gorgeous in silver and black color.,Looks,5,0.7923407506614227,Ground Clearance,19,sttm_42
Ground clearance of the vehicle is quite good but could have been a little more.,Ground Clearance,5,0.9850743880160451,Ground Clearance,19,sttm_42
It has the best ground clearance in the segment and its cabin is more spacious than other and it is value for money product,Ground Clearance,5,0.9999998243404904,Ground Clearance,19,sttm_42
MG Hector in comparison looks like a mpv in the side angle and also the ground clearance is very bad.,Ground Clearance,5,0.9999999978616697,Ground Clearance,19,sttm_42
"The Skoda kodiaq scout possesses some serious off-road capabilities, thanks to its better approach and departure angles and slightly higher ground clearance (194mm).",Ground Clearance,5,0.999999999999989,Ground Clearance,19,sttm_42
The black bumpers suddenly look like an eyesore.,Looks,5,0.9806833740086921,Ground Clearance,19,sttm_42
I didn't like the ground clearance of the Tiguan and I find it too small.,Ground Clearance,5,0.9997367118811543,Ground Clearance,19,sttm_42
It's got higher ground clearance and superb 17 inch alloy wheels!,Ground Clearance,5,0.9999754344247647,Ground Clearance,19,sttm_42
Perfect ground clearance.,Ground Clearance,5,0.7978907977650881,Ground Clearance,19,sttm_42
The height of the car and the ground clearance is superb for Indian roads.,Ground Clearance,5,0.9983246488613564,Ground Clearance,19,sttm_42
Has excellent ground clearance and a luxurious interior.,Ground Clearance,5,0.899505544986554,Ground Clearance,19,sttm_42
i found the sunroof to have the maximum appeal as well as the most vulnerable as far as part failure is concerned.,Sunroof,5,0.9993196486945839,Ground Clearance,19,sttm_42
Best view and ground clearance is perfect,Ground Clearance,5,0.9995575778769159,Ground Clearance,19,sttm_42
It is best in ground clearance.,Ground Clearance,5,0.7978907977650881,Ground Clearance,19,sttm_42
#NAME?,Infotainment System,5,0.35452623222311186,Ground Clearance,19,sttm_42
Doors are heavy but one drawback is the ground clearance,Ground Clearance,5,0.9999815406221506,Ground Clearance,19,sttm_42
Worstcar no performance.its just for look,Performance,5,0.968480897414104,Ground Clearance,19,sttm_42
Good ground clearance.,Ground Clearance,5,0.7978907977650881,Ground Clearance,19,sttm_42
"The only feedback is, sunroof is not there, best in the class SUV, very comfortable, ground clearance is also very good, interiors are such awesome.",Ground Clearance,5,0.999949349143775,Ground Clearance,19,sttm_42
Nice car and looks very well ground clearance is very high.,Ground Clearance,5,0.9888338998134143,Ground Clearance,19,sttm_42
Overall looks are good and give a better impact.,Looks,5,0.978611066335759,Ground Clearance,19,sttm_42
The only concern seems a little low ground clearance.,Ground Clearance,5,0.9943593528166729,Ground Clearance,19,sttm_42
Ground clearance is good and solid build quality with nice material and leatherwork in the interior.,Ground Clearance,5,0.9999978466860493,Ground Clearance,19,sttm_42
Maintainance cost is very less I would say negligible.,Cost,40,0.4919379229908846,Cost,5,sttm_42
I think india production cost also very less than any other developed country but the on-road price is expensive when compared to other countries.,Cost,40,0.9999999979637773,Cost,5,sttm_42
"To our delight, Hyundai readily agreed to bear 90% of the cost as a goodwill gesture.",Cost,40,0.999999996666859,Cost,5,sttm_42
I reduced the psi to 33.5 on all tires still not very comfortable.,Comfort,40,0.9891171987720841,Cost,5,sttm_42
So the base ex-showroom sticker price + extra tax % + extra registration % + extra insurance premium % altogether will result in an overall higher price hike compared to just the cost of the engine+exhaust components.,Cost,40,1.0,Cost,5,sttm_42
Jeep India replaced the burst tire free of cost as a goodwill gesture.,Cost,40,0.9999999986145918,Cost,5,sttm_42
The car is very durable and has a fantastic music system.,Infotainment System,36,0.978253426756183,Infotainment System,39,sttm_42
One of the worst bose systems I have seen is in this car,Infotainment System,36,0.9903485166534429,Infotainment System,39,sttm_42
"The music system is very outdated and lethargic with a 
 a lot of bugs.",Infotainment System,36,0.9997231396076357,Infotainment System,39,sttm_42
3. music system response is slow and until today it hanged at least 7-8 times.,Infotainment System,36,0.9999998123509185,Infotainment System,39,sttm_42
Bose sound system? wow,Infotainment System,36,0.9999046856408267,Infotainment System,39,sttm_42
Pathetic music system,Infotainment System,36,0.9625373003899419,Infotainment System,39,sttm_42
The huge infotainment system really catches attention.,Infotainment System,36,0.9942761619732212,Infotainment System,39,sttm_42
The infotainment system is average but not best.,Infotainment System,36,0.6059123237348856,Infotainment System,39,sttm_42
I love the sound system.,Infotainment System,36,0.9950082801354136,Infotainment System,39,sttm_42
The sound system is extraordinary.,Infotainment System,36,0.6059123237348856,Infotainment System,39,sttm_42
"Cons:
 1. pathetic infotainment system response.",Infotainment System,36,0.9743563836913037,Infotainment System,39,sttm_42
Very high standard car and the tire is massive.fully electronic systems and safe car.,Safety Features,36,0.9985737259268009,Infotainment System,39,sttm_42
"They should work on the infotainment system, tire Tronics and some other basic features and no one will be in que to compete with them because everything else is perfect.",Infotainment System,36,0.9999998033967314,Infotainment System,39,sttm_42
Lovely car and that touchscreen infotainment system look futuristic.,Infotainment System,36,0.7759917411346606,Infotainment System,39,sttm_42
In 3 months I have gone 6 times to the service center and talking about the music system and engine noise is again a big problem.,Infotainment System,36,0.9999999998914841,Infotainment System,39,sttm_42
The 10 speaker music system sound amazing.,Infotainment System,36,0.9999094383759918,Infotainment System,39,sttm_42
The bose sound system sounded good with some FM radio songs.,Infotainment System,36,0.9999999915321729,Infotainment System,39,sttm_42
"I have changed all five doors due to rust, replaced sunroof motor.",Sunroof,36,0.9995495689839887,Infotainment System,39,sttm_42
"The music system is nice, but not as nice as the MGs.",Infotainment System,36,0.9975376948552921,Infotainment System,39,sttm_42
"The touch screen infotainment system and the speaker's output is amazing, the tires should be improved.",Infotainment System,36,0.9999887563792249,Infotainment System,39,sttm_42
"It is good looking car from exterior and interiorexcellent music system and auto gear shift also a new type of speedometer 
 sunroof feature is also very nice and this car is having comfortableseats ..",Infotainment System,36,0.9999999999907215,Infotainment System,39,sttm_42
The car is very comfortable to drive with a good music system.,Infotainment System,36,0.9737449458140219,Infotainment System,39,sttm_42
The car mood lighting is linked to music,Mood Lights,36,0.9785495611971695,Infotainment System,39,sttm_42
"Last month I have some issues with the wireless charger of my creta but with only one trip to the Hyundai service area, my problem was fixed",Wireless Charging,36,0.9999999936663333,Infotainment System,39,sttm_42
The car sound system is very perfect.,Infotainment System,36,0.9957577673291403,Infotainment System,39,sttm_42
"The clock in the music system frequently gets misaligned, giving wrong times,
 15.",Infotainment System,36,0.9999998598265842,Infotainment System,39,sttm_42
The inbuilt sound system provided by the company has an ideal sound effect and base with voice clarity.,Infotainment System,36,0.9999997166012367,Infotainment System,39,sttm_42
"This carsound system is amazing 
 I love this sound",Infotainment System,36,0.9999367014251732,Infotainment System,39,sttm_42
He claims his infotainment system was acting weird since purchase 3 months ago.,Infotainment System,36,0.9999994352542648,Infotainment System,39,sttm_42
"Very spacious, comfortable, features enabled and very nice infotainment system.",Infotainment System,36,0.8915076385584128,Infotainment System,39,sttm_42
Excellent infotainment system support system android auto and apple car play and many more features.,Infotainment System,36,0.9999997647117959,Infotainment System,39,sttm_42
It has a good music system with a wireless connection(Bluetooth).,Infotainment System,36,0.9936789146619869,Infotainment System,39,sttm_42
The infotainment system is too good for sound quality is awesome.,Infotainment System,36,0.9673122005437585,Infotainment System,39,sttm_42
"It has better interiors, best music system.",Infotainment System,36,0.9922784869939502,Infotainment System,39,sttm_42
"The music system is great as well as the electronic break, it is a great feature.",Infotainment System,36,0.9932367851204399,Infotainment System,39,sttm_42
The infotainment system is great as it supports most regional language,Infotainment System,36,0.9958650560750343,Infotainment System,39,sttm_42
It is because of its mediocre music system.,Infotainment System,36,0.9625373003899419,Infotainment System,39,sttm_42
"Hopefully, they will change their infotainment system that has driven most owners insane with software updates after software updates that don't fix anything.",Infotainment System,36,0.9999999996239196,Infotainment System,39,sttm_42
"Awesome features and top-class looks, a good controlling system, and a mind-blowing music system.",Infotainment System,36,0.999999480423763,Infotainment System,39,sttm_42
The music system is excellent.,Infotainment System,36,0.9625373003899419,Infotainment System,39,sttm_42
The music system sounds excellent.,Infotainment System,36,0.999731238453899,Infotainment System,39,sttm_42
The infotainment system is superb.,Infotainment System,36,0.6059123237348856,Infotainment System,39,sttm_42
Looks mind-blowingly good!,Looks,36,0.9522539942321587,Infotainment System,39,sttm_42
"Hopefully, the resale value of my 2018 Creta will improve once Hyundai launches this horrible looking one in 2020!",Looks,36,0.9999956596036954,Infotainment System,39,sttm_42
i like in this car is its sunroof which is mind-blowing.,Sunroof,36,0.6357095305018904,Infotainment System,39,sttm_42
"Very bad experience from the start, to date every day have been running to their service center, car frequently stalls when changing gear from third to second, touch screen infotainment system got hung, then blacked out, was replaced by the company & still has issues.",Infotainment System,36,1.0,Infotainment System,39,sttm_42
"the real deal breakers are the sunroof, powered seats, the 360 deg camera and the ventilated seats.",Ventilated Seats,8,0.9999908907139243,Wireless Charging,19,sttm_42
new features were added to the tucson (the panaromic sunroof and the wireless charging),Wireless Charging,8,0.9999994851839709,Wireless Charging,19,sttm_42
"They have put in true luxury features for a change, the mood lighting, the bose speakers, rear door curtains and 2 stage rear seat recline.",Mood Lights,8,0.999999890190201,Wireless Charging,19,sttm_42
I wish they had wireless charger as well which even venue has!,Wireless Charging,8,0.9987886521776593,Wireless Charging,19,sttm_42
The mood lights are just too gimmicky.,Mood Lights,8,0.9823951981185929,Wireless Charging,19,sttm_42
Ventilated seat is a very good feature to be there as many cars at this price does not provide this.,Ventilated Seats,8,0.9998538702552006,Wireless Charging,19,sttm_42
"New goodies: sunroof, wireless charging etc.",Wireless Charging,8,0.9999958235959683,Wireless Charging,19,sttm_42
"Since it's a Korean car, it gets tiny seats.",Comfort,8,0.49821200121135306,Wireless Charging,19,sttm_42
"Since wireless charging is a hit or miss, i did not bother much. 
 however since yesterday only the red power light comes on and the pad gets warm even if i have no phones placed on it.",Wireless Charging,8,0.9999999999841567,Wireless Charging,19,sttm_42
"Ultimate design, ultimate feature, comfortable seats, and price.",Comfort,8,0.9875331266703905,Wireless Charging,19,sttm_42
"The sunroof(kids are crazy about it)
 decent ground clearance
 lovely music system seamlessly connects to my phone 
 wireless charger.",Infotainment System,8,0.9999231183659075,Wireless Charging,19,sttm_42
It has segment first features like panaromic sunroof and electronic parking brakes.,Sunroof,8,0.9988836506974527,Wireless Charging,19,sttm_42
"For the price, it misses out on key features like a tpms, ventilated seats, hid lights only on top variant, etc.",Ventilated Seats,8,0.9999999956673771,Wireless Charging,19,sttm_42
"Along with the features missing, aci says that the panoramic sunroof will be a paid option.",Sunroof,8,0.9994818965255049,Wireless Charging,19,sttm_42
Features as standard across all variants like ventilated disc brakes all around and dual airbags.,Safety Features,8,0.9998306251516819,Wireless Charging,19,sttm_42
